开始时间,开盘价格,最高价格,最低价格,收盘价格,交易量/张,交易量/币
1619854200000,2848.29,2858.97,2846.4,2858.24,1168.780758,3332722.554448
1619940600000,2885.27,2901.11,2872.18,2893.12,1461.977902,4221918.259685
1620027000000,3134.72,3146.67,3109.99,3145.69,4371.519138,13712426.054661
1620113400000,3357.98,3360.41,3310.64,3313.66,3593.44251,11967301.436176
1620199800000,3287.51,3355.3,3278.4,3339.47,3995.747627,13280163.015268
1620286200000,3430.24,3444.42,3419,3440,1726.121076,5923610.041172
1620372600000,3474.45,3477.52,3432.65,3433.42,1878.679427,6485958.235062
1620459000000,3525.61,3545.48,3521.01,3526.16,4705.573685,16634592.998928
1620545400000,3957.63,3961.18,3928,3937.84,1811.304438,7145898.126426
1620631800000,4117.45,4138.58,4102.01,4105.24,4169.951762,17172744.070927
1620718200000,3927.5,3965.32,3917.06,3960.33,1885.555646,7438314.327318
1620804600000,4318.59,4327,4285,4306.71,1736.431527,7473385.229585
1620891000000,3975.67,3987.7,3943.98,3968.4,2291.387019,9090226.743042
1620977400000,3877.39,3885.71,3854.25,3881.25,3284.681056,12718918.04651
1621063800000,3938.72,3964.64,3901.86,3908.1,3367.736731,13251201.848836
1621150200000,3841.82,3867.89,3823.68,3866.34,1361.767012,5234260.148756
1621236600000,3481.56,3527.48,3460,3520.19,5641.938662,19698439.923166
1621323000000,3489.79,3511.76,3472.64,3508.84,2502.794884,8746282.994835
1621409400000,2949.41,3011.2,2922.69,2984.39,8624.156882,25619908.71031
1621495800000,2759.56,2779.17,2693.8,2713.71,11401.121355,31161843.628018
1621582200000,2695.39,2717.64,2677.87,2686.99,5414.995865,14593696.70196
1621668600000,2222.57,2259.99,2195.53,2248.43,7585.638503,16936137.847855
1621755000000,2177.27,2183.56,2128.02,2157.44,8592.155147,18498624.28615
1621841400000,2232.1,2297.23,2231.98,2290.02,12368.778731,28123272.297008
1621927800000,2648.99,2665.85,2624.45,2660.2,2903.919951,7668148.858901
1622014200000,2861.07,2894.17,2860.67,2889.49,3331.145768,9600944.829113
1622100600000,2728.44,2757.54,2725.66,2734.73,2279.240624,6244698.13352
1622187000000,2570.37,2576.34,2539.53,2566.24,5477.667263,14020753.954269
1622273400000,2514.89,2519.9,2481.01,2488.77,3257.93436,8134653.871561
1622359800000,2415.47,2463.03,2415.47,2451.62,4190.469319,10249187.631298
1622446200000,2443.81,2455.29,2426.48,2450.99,4031.225154,9847313.169702
1622532600000,2637.36,2654.93,2630,2652.9,2132.276969,5637157.291519
1622619000000,2667.46,2708.58,2667.46,2693.14,6078.591331,16366295.859348
1622705400000,2815.89,2835,2807.32,2819.7,1858.059858,5243643.632903
1622791800000,2621.99,2644.47,2613,2619.7,3125.64301,8218766.088156
1622878200000,2806.39,2812.49,2776.27,2781.1,2300.146519,6424301.796113
1622964600000,2672.75,2695.06,2672.75,2689.47,1952.908134,5248765.172613
1623051000000,2753.31,2771.38,2753.27,2764.59,1188.36107,3283544.87925
1623137400000,2514.01,2522.78,2499.28,2515.34,3626.104674,9106977.401537
1623223800000,2514.34,2532.96,2498.13,2502.47,2928.183667,7376924.640128
1623310200000,2544.67,2551.66,2534.4,2547.41,705.97875,1795348.790943
1623396600000,2436.6,2454,2428.65,2446,2302.154014,5623410.552422
1623483000000,2312.13,2325.53,2311.36,2322.26,1694.251635,3931351.163249
1623569400000,2334.85,2338.99,2322.19,2324.15,1579.327678,3677163.692824
1623655800000,2500.13,2503.2,2492,2499.99,811.39962,2025933.804302
1623742200000,2610.33,2621.81,2606,2621.81,586.211138,1533157.13378
1623828600000,2538.46,2539.09,2526.7,2527.92,667.515446,1691622.313124
1623915000000,2454.53,2456.89,2441.01,2441.36,955.907704,2341113.342052
1624001400000,2340.16,2351.02,2336.67,2341.54,1111.287044,2604985.413312
1624087800000,2219.64,2246.52,2219.64,2245.56,1835.286981,4103812.644188
1624174200000,2192.67,2204.98,2187.5,2203.29,985.00342,2163526.413792
1624260600000,2014.73,2019,1990.01,2011.95,5472.174806,10984605.615783
1624347000000,1949.32,1954.45,1938,1944.36,1181.132718,2298604.083338
1624433400000,2006.6,2021.48,2002.3,2004.66,1748.535588,3518138.720005
1624519800000,1939.43,1941.83,1918.18,1919.55,1331.349577,2564592.874691
1624606200000,1934,1945.94,1927.15,1944.02,2252.965819,4360940.606168
1624692600000,1767.06,1771.16,1745,1752.39,6000.400278,10524611.556948
1624779000000,1852.29,1870.72,1852.29,1866.85,1768.548877,3300867.715679
1624865400000,2021.24,2054.52,2021.24,2048.99,5627.91219,11475560.499443
1624951800000,2157.85,2159.56,2122,2131.22,2646.71708,5658292.929957
1625038200000,2141.28,2168.13,2140.65,2161.67,2264.465231,4886527.38231
1625124600000,2159.96,2164.55,2128.75,2129.45,3573.32753,7658730.800104
1625211000000,2049.18,2069.55,2043.86,2061.53,2381.02885,4904666.660192
1625297400000,2153.74,2206.79,2153.74,2195.19,5258.427307,11482237.974852
1625383800000,2332.16,2347.65,2326.17,2334.63,2051.104786,4790578.302939
