开始时间,开盘价格,最高价格,最低价格,收盘价格,交易量/张,交易量/币
1625470200000,2263.62,2275,2263.62,2273.41,604.176582,1372061.952083
1625556600000,2324.06,2344.13,2322.17,2336.46,2681.221173,6252725.737019
1625643000000,2389.14,2410.82,2360,2376.95,4957.692751,11837055.128397
1625729400000,2210.67,2210.67,2164.34,2182.64,7033.747337,15396435.310555
1625815800000,2122.92,2127,2114.01,2126.55,1074.635252,2277794.926572
1625902200000,2113.8,2124.82,2112.19,2121.87,674.92754,1430814.544848
1625988600000,2094.93,2104.13,2090.35,2099.86,604.255305,1268382.86578
1626075000000,2157.25,2157.25,2144.32,2146.49,601.460447,1292352.321343
1626161400000,2022.99,2034.33,2022.09,2027.63,1137.257552,2305793.564538
1626247800000,1886.92,1906.71,1884.64,1899.24,1428.197105,2710918.902864
1626334200000,1959,1959,1947.85,1953.64,894.034975,1746178.44977
1626420600000,1908.68,1913.61,1897.02,1913.5,1717.189517,3269089.58798
1626507000000,1877.56,1884.63,1877.21,1878.2,248.419457,467155.98541
1626593400000,1958.37,1970,1953.02,1958.65,961.215975,1883055.764732
1626679800000,1902.09,1903.35,1888.85,1891.28,1203.945735,2280684.658074
1626766200000,1760.19,1765.85,1759.85,1762.19,2123.721178,3743925.810825
1626852600000,1871.29,1875.99,1862.92,1875.25,922.734745,1724123.057129
1626939000000,2008.72,2009.83,1984.8,1991.74,2718.517958,5428053.346867
1627025400000,2057.24,2065.37,2055,2064.67,1055.949109,2175838.023762
1627111800000,2134.25,2135.82,2125.32,2131.94,662.581154,1410945.579247
1627198200000,2178.1,2185.17,2173.1,2174.64,710.081636,1548709.098034
1627284600000,2360.22,2362.14,2304.39,2326,5550.571128,12914304.291633
1627371000000,2190.13,2205.72,2187.11,2202.44,2260.62396,4959661.689282
1627457400000,2277.16,2301.25,2265.63,2296.19,1858.053058,4252607.512651
1627543800000,2301.18,2302.57,2291.23,2294.47,382.851474,879387.554489
1627630200000,2405.04,2407.5,2393.88,2403.73,715.835473,1718695.666943
1627716600000,2441.57,2446.78,2440.28,2442.56,241.774222,590664.344107
1627803000000,2598.44,2603.79,2580.46,2586.28,905.49837,2349516.535851
1627889400000,2623.77,2624.22,2602.69,2617.33,2151.431847,5623565.262893
1627975800000,2496.9,2499.74,2479.79,2492.99,1225.329162,3052803.923588
1628062200000,2483.18,2484.3,2465.64,2479.5,2415.535453,5978231.648151
1628148600000,2679.99,2688.57,2667.96,2682.14,1808.512994,4840679.453685
1628235000000,2765.45,2777.18,2764.44,2768.44,1174.252922,3252885.28174
1628321400000,2947.87,2973.62,2947.09,2955.23,905.429506,2683483.971467
1628407800000,3168.51,3172.88,3131,3137.38,2421.689436,7628238.899924
1628494200000,2919.67,2954.64,2913.65,2945.52,1617.808658,4757941.329645
1628580600000,3116.5,3148,3111,3142.77,1788.895592,5603253.186184
1628667000000,3233.51,3238.26,3211.17,3231.08,1880.80069,6067335.346605
1628753400000,3135.39,3145.89,3121.74,3142.16,698.44117,2189441.530161
1628839800000,3212.76,3231.33,3201.79,3222.77,1796.577956,5784069.984107
1628926200000,3318.36,3322.83,3303.59,3306.91,741.36582,2456416.264486
1629012600000,3218.18,3218.71,3154,3160.89,4831.893272,15354076.829794
1629099000000,3282,3290.87,3267.18,3275.37,1232.20386,4041039.424984
1629185400000,3158.3,3171.48,3148.99,3171.12,899.394391,2844030.865569
1629271800000,3044,3058.23,3024,3031.58,1860.597057,5656719.047427
1629358200000,2991.02,2995.54,2972.5,2995.46,1313.682317,3919517.337863
1629444600000,3222.1,3223.47,3207.01,3216.71,805.739591,2589934.258517
1629531000000,3285.09,3295,3282.29,3293.63,572.205232,1882571.907776
1629617400000,3268.81,3270.17,3258.23,3262.38,250.345128,816873.87917
1629703800000,3314.86,3329.51,3313.18,3323.3,772.622982,2566945.751173
1629790200000,3356.19,3358,3340.27,3347.23,856.725025,2869565.28228
1629876600000,3201,3203.6,3173.56,3183.01,1778.843335,5667343.071318
1629963000000,3098.27,3119.39,3090.61,3104.37,1110.65003,3449669.896824
1630049400000,3116.57,3129.88,3106.03,3127.21,1320.07431,4117944.743875
